device_id,os,proxy_flag,first_seen
DEV_0000,Android,0,2025-06-13 12:00:00
DEV_0001,Windows,0,2025-10-14 12:00:00
DEV_0002,macOS,0,2025-03-26 12:00:00
DEV_0003,Android,0,2025-01-18 12:00:00
DEV_0004,iOS,0,2025-06-11 12:00:00
DEV_0005,Android,0,2025-02-26 12:00:00
DEV_0006,iOS,0,2026-06-21 12:00:00
DEV_0007,Windows,0,2024-10-21 12:00:00
DEV_0008,Android,0,2025-10-28 12:00:00
DEV_0009,Windows,0,2025-10-01 12:00:00
DEV_0010,macOS,0,2025-02-10 12:00:00
DEV_0011,iOS,0,2024-10-20 12:00:00
DEV_0012,macOS,0,2026-03-06 12:00:00
DEV_0013,Windows,0,2026-08-31 12:00:00
DEV_0014,Windows,0,2025-06-17 12:00:00
DEV_0015,Windows,0,2025-06-05 12:00:00
DEV_0016,iOS,0,2026-03-11 12:00:00
DEV_0017,Android,0,2024-10-21 12:00:00
DEV_0018,Windows,1,2026-01-03 12:00:00
DEV_0019,Windows,0,2026-02-09 12:00:00
DEV_0020,iOS,1,2025-12-24 12:00:00
DEV_0021,macOS,0,2026-06-18 12:00:00
DEV_0022,macOS,0,2024-11-25 12:00:00
DEV_0023,iOS,0,2025-08-03 12:00:00
DEV_0024,macOS,0,2026-04-02 12:00:00
DEV_0025,Android,0,2026-05-14 12:00:00
DEV_0026,macOS,0,2024-09-18 12:00:00
DEV_0027,macOS,1,2025-12-19 12:00:00
DEV_0028,Android,0,2025-05-13 12:00:00
DEV_0029,Windows,0,2025-06-04 12:00:00
DEV_0030,macOS,0,2025-02-16 12:00:00
DEV_0031,macOS,0,2025-05-02 12:00:00
DEV_0032,macOS,0,2025-12-21 12:00:00
DEV_0033,Windows,0,2025-03-16 12:00:00
DEV_0034,macOS,0,2025-11-23 12:00:00
DEV_0035,macOS,1,2025-11-12 12:00:00
DEV_0036,iOS,0,2025-10-08 12:00:00
DEV_0037,Android,0,2026-01-07 12:00:00
DEV_0038,macOS,0,2026-01-24 12:00:00
DEV_0039,Android,0,2025-09-27 12:00:00
DEV_0040,macOS,0,2026-02-01 12:00:00
DEV_0041,macOS,0,2025-01-10 12:00:00
DEV_0042,Android,0,2025-01-19 12:00:00
DEV_0043,macOS,0,2025-09-05 12:00:00
DEV_0044,Windows,0,2025-06-28 12:00:00
DEV_0045,iOS,0,2025-11-25 12:00:00
DEV_0046,macOS,0,2025-07-29 12:00:00
DEV_0047,Windows,0,2025-07-13 12:00:00
DEV_0048,iOS,0,2026-04-23 12:00:00
DEV_0049,Android,0,2025-01-02 12:00:00
DEV_0050,Android,1,2025-06-19 12:00:00
DEV_0051,iOS,0,2026-02-26 12:00:00
DEV_0052,Android,0,2025-09-30 12:00:00
DEV_0053,iOS,0,2025-09-20 12:00:00
DEV_0054,macOS,0,2025-06-26 12:00:00
DEV_0055,Windows,0,2025-05-07 12:00:00
DEV_0056,Android,0,2026-07-09 12:00:00
DEV_0057,Windows,0,2026-06-22 12:00:00
DEV_0058,Android,0,2025-12-21 12:00:00
DEV_0059,iOS,0,2024-12-03 12:00:00
DEV_0060,iOS,0,2025-05-04 12:00:00
DEV_0061,Android,0,2026-01-20 12:00:00
DEV_0062,macOS,0,2025-08-19 12:00:00
DEV_0063,iOS,0,2026-05-06 12:00:00
DEV_0064,iOS,0,2026-05-13 12:00:00
DEV_0065,Android,0,2025-01-19 12:00:00
DEV_0066,macOS,0,2026-02-09 12:00:00
DEV_0067,Android,0,2024-11-27 12:00:00
DEV_0068,iOS,0,2025-10-27 12:00:00
DEV_0069,Android,0,2025-01-29 12:00:00
DEV_0070,Android,0,2025-06-19 12:00:00
DEV_0071,Windows,1,2024-11-06 12:00:00
DEV_0072,Windows,1,2025-06-27 12:00:00
DEV_0073,macOS,0,2025-08-26 12:00:00
DEV_0074,macOS,0,2025-06-12 12:00:00
DEV_0075,iOS,0,2024-11-03 12:00:00
DEV_0076,Windows,0,2025-02-26 12:00:00
DEV_0077,macOS,0,2025-01-02 12:00:00
DEV_0078,Windows,0,2025-12-23 12:00:00
DEV_0079,Android,0,2025-05-27 12:00:00
DEV_0080,iOS,0,2025-01-25 12:00:00
DEV_0081,macOS,0,2025-04-12 12:00:00
DEV_0082,Windows,0,2026-01-26 12:00:00
DEV_0083,Windows,0,2025-09-17 12:00:00
DEV_0084,Windows,0,2024-09-12 12:00:00
DEV_0085,Windows,0,2025-03-20 12:00:00
DEV_0086,iOS,1,2025-07-11 12:00:00
DEV_0087,macOS,0,2025-12-28 12:00:00
DEV_0088,macOS,0,2025-04-16 12:00:00
DEV_0089,macOS,0,2026-05-28 12:00:00
DEV_0090,Windows,0,2024-09-22 12:00:00
DEV_0091,iOS,0,2025-01-13 12:00:00
DEV_0092,Windows,0,2025-03-06 12:00:00
DEV_0093,Windows,0,2025-02-14 12:00:00
DEV_0094,Windows,0,2025-05-24 12:00:00
DEV_0095,Windows,0,2026-01-07 12:00:00
DEV_0096,Android,0,2025-10-12 12:00:00
DEV_0097,Android,0,2024-09-24 12:00:00
DEV_0098,iOS,0,2025-04-23 12:00:00
DEV_0099,Windows,0,2025-03-12 12:00:00
DEV_0100,Windows,0,2026-02-14 12:00:00
DEV_0101,Windows,0,2026-03-01 12:00:00
DEV_0102,Windows,1,2025-03-03 12:00:00
DEV_0103,iOS,0,2026-07-07 12:00:00
DEV_0104,Windows,0,2026-04-24 12:00:00
DEV_0105,macOS,0,2026-08-19 12:00:00
DEV_0106,Windows,0,2025-06-06 12:00:00
DEV_0107,Windows,0,2026-07-10 12:00:00
DEV_0108,Windows,0,2025-04-29 12:00:00
DEV_0109,Android,0,2025-07-17 12:00:00
DEV_0110,macOS,1,2024-11-25 12:00:00
DEV_0111,Android,0,2025-02-01 12:00:00
DEV_0112,Windows,1,2025-12-20 12:00:00
DEV_0113,Android,0,2025-07-01 12:00:00
DEV_0114,iOS,0,2025-08-07 12:00:00
DEV_0115,macOS,0,2025-10-31 12:00:00
DEV_0116,macOS,0,2024-12-04 12:00:00
DEV_0117,Android,0,2026-05-22 12:00:00
DEV_0118,iOS,0,2025-12-04 12:00:00
DEV_0119,Android,0,2026-03-07 12:00:00
DEV_0120,Android,0,2025-07-09 12:00:00
DEV_0121,macOS,0,2025-05-07 12:00:00
DEV_0122,Windows,1,2025-11-09 12:00:00
DEV_0123,Windows,0,2025-05-24 12:00:00
DEV_0124,Android,0,2025-12-04 12:00:00
DEV_0125,iOS,0,2025-02-20 12:00:00
DEV_0126,iOS,0,2025-12-02 12:00:00
DEV_0127,iOS,1,2026-03-15 12:00:00
DEV_0128,Windows,0,2025-01-26 12:00:00
DEV_0129,Windows,0,2025-05-09 12:00:00
DEV_0130,Windows,0,2025-11-26 12:00:00
DEV_0131,macOS,0,2024-12-27 12:00:00
DEV_0132,Android,0,2025-10-05 12:00:00
DEV_0133,Windows,1,2026-01-09 12:00:00
DEV_0134,Android,0,2024-10-12 12:00:00
DEV_0135,Windows,0,2026-03-05 12:00:00
DEV_0136,macOS,0,2025-06-05 12:00:00
DEV_0137,Windows,0,2025-01-09 12:00:00
DEV_0138,macOS,0,2025-04-15 12:00:00
DEV_0139,Android,0,2025-07-09 12:00:00
DEV_0140,Windows,0,2026-05-16 12:00:00
DEV_0141,iOS,0,2024-09-20 12:00:00
DEV_0142,macOS,0,2025-07-17 12:00:00
DEV_0143,Android,0,2025-10-13 12:00:00
DEV_0144,Windows,0,2025-07-14 12:00:00
DEV_0145,Android,0,2025-02-22 12:00:00
DEV_0146,macOS,0,2026-02-20 12:00:00
DEV_0147,Windows,0,2025-04-08 12:00:00
DEV_0148,macOS,0,2026-02-04 12:00:00
DEV_0149,Windows,0,2025-11-10 12:00:00
DEV_0150,macOS,0,2025-04-22 12:00:00
DEV_0151,Android,1,2024-11-24 12:00:00
DEV_0152,iOS,0,2025-10-17 12:00:00
DEV_0153,Android,0,2026-05-28 12:00:00
DEV_0154,iOS,0,2026-05-07 12:00:00
DEV_0155,macOS,0,2024-11-06 12:00:00
DEV_0156,iOS,0,2025-11-06 12:00:00
DEV_0157,Windows,0,2025-04-24 12:00:00
DEV_0158,macOS,0,2025-02-13 12:00:00
DEV_0159,iOS,0,2024-12-26 12:00:00
DEV_CLEAN,iOS,0,2025-07-28 12:00:00
DEV_BLOCKED,Android,1,2026-08-29 12:00:00
DEV_VELOCITY,Android,0,2026-06-03 12:00:00
DEV_HIVAL,macOS,0,2025-04-19 12:00:00
