ip,risk_score,is_proxy,country
131.69.35.71,0.26,0,IN
88.136.1.73,0.25,0,IN
149.250.76.115,0.1,0,IN
142.193.233.239,0.06,0,IN
179.122.196.60,0.12,0,IN
82.242.195.99,0.24,0,IN
167.77.253.247,0.8,1,IN
217.225.51.135,0.0,0,IN
37.209.79.20,0.29,0,IN
87.203.41.219,0.2,0,IN
137.194.162.161,0.23,0,IN
139.18.35.61,0.28,0,IN
59.46.222.251,0.85,0,SG
43.153.14.12,0.02,0,IN
92.191.220.38,0.12,0,IN
175.92.87.45,0.94,0,US
128.73.118.119,0.14,0,IN
171.4.238.231,0.16,0,IN
19.226.176.253,0.19,0,IN
109.128.233.217,0.3,0,IN
219.247.54.61,0.11,0,IN
76.151.11.251,0.12,0,IN
3.25.254.214,0.09,0,IN
205.117.180.57,0.19,0,IN
174.70.49.232,0.01,0,IN
202.225.17.149,0.04,0,IN
76.167.212.45,0.24,0,IN
94.139.84.66,0.28,0,IN
207.151.173.206,0.98,1,US
221.203.187.24,0.0,0,IN
138.63.232.95,0.2,0,IN
150.195.190.28,0.14,0,IN
159.167.113.166,0.92,0,GB
167.209.59.36,0.61,0,IN
25.120.69.100,0.2,0,IN
191.214.79.227,0.03,0,IN
126.208.143.9,0.07,0,IN
114.120.185.26,0.11,0,IN
166.183.31.102,0.29,0,IN
218.232.46.170,0.19,0,IN
6.25.170.63,0.24,0,IN
53.35.106.151,0.26,0,IN
85.75.1.71,0.04,0,IN
34.128.89.29,0.01,0,IN
4.183.121.151,0.05,0,IN
14.64.215.135,0.62,1,GB
132.55.231.129,0.18,0,IN
187.154.234.165,0.02,0,IN
123.205.218.176,0.88,1,IN
83.75.33.33,0.19,0,IN
141.166.195.153,0.14,0,IN
155.220.50.204,0.26,0,IN
167.110.220.116,0.12,0,IN
212.232.204.107,0.09,0,IN
81.130.191.245,0.28,0,IN
18.46.43.24,0.22,0,IN
96.66.30.151,0.17,0,IN
172.62.210.91,0.28,0,IN
109.26.147.154,0.03,0,IN
130.108.79.169,0.25,0,IN
90.188.58.196,0.07,0,IN
110.13.136.8,0.21,0,IN
80.173.179.2,0.04,0,IN
169.205.35.37,0.29,0,IN
24.110.192.108,0.05,0,IN
80.166.43.227,0.66,0,IN
70.226.217.125,0.12,0,IN
56.58.176.111,0.86,1,RU
171.157.23.57,0.18,0,IN
2.104.154.243,0.04,0,IN
66.148.167.31,0.89,1,SG
137.117.181.19,0.22,0,IN
112.9.235.236,0.72,1,SG
182.213.148.30,0.29,0,IN
44.235.185.23,0.03,0,IN
112.205.40.102,0.22,0,IN
57.170.86.20,0.03,0,IN
131.99.178.90,0.25,0,IN
209.75.120.27,0.68,0,IN
46.252.237.194,0.17,0,IN
175.165.161.39,0.14,0,IN
162.155.140.152,0.8,1,SG
10.29.188.213,0.19,0,IN
219.46.196.119,0.29,0,IN
190.21.230.233,0.2,0,IN
83.243.77.246,0.64,0,GB
183.43.88.11,0.13,0,IN
113.81.186.96,0.12,0,IN
199.173.26.203,0.1,0,IN
85.48.197.73,0.26,0,IN
155.76.170.21,0.04,0,IN
90.158.200.34,0.28,0,IN
80.192.168.209,0.87,0,RU
24.216.185.5,0.05,0,IN
55.174.248.50,0.04,0,IN
20.151.51.130,0.25,0,IN
135.19.172.225,0.04,0,IN
97.78.83.47,0.23,0,IN
208.84.224.12,0.2,0,IN
61.227.145.193,0.13,0,IN
137.122.158.248,0.14,0,IN
214.99.188.174,0.3,0,IN
119.144.195.129,0.29,0,IN
210.102.70.224,0.19,0,IN
96.52.63.73,0.66,1,RU
38.223.46.243,0.25,0,IN
90.13.212.14,0.11,0,IN
99.41.191.58,0.96,0,GB
203.74.70.10,0.25,0,IN
179.71.240.115,0.27,0,IN
5.131.110.214,0.97,0,SG
29.147.121.78,0.69,0,RU
118.32.56.215,0.18,0,IN
5.123.73.75,0.18,0,IN
62.213.95.171,0.16,0,IN
93.34.10.100,0.01,0,IN
100.191.129.192,0.91,1,IN
198.170.68.12,0.1,0,IN
165.89.237.252,0.19,0,IN
208.69.32.184,0.14,0,IN
10.0.0.10,0.02,0,IN
10.0.0.20,0.03,0,IN
10.0.0.30,0.04,0,IN
203.0.113.66,0.97,1,RU
198.51.100.23,0.71,1,IN
