txn_id,card_id,device_id,ip,merchant_id,amount,ts,geo,label
TXN_000000,CARD_0018,DEV_0088,118.32.56.215,MERCH_0008,522.46,2026-08-18 01:39:00,IN-Hyderabad,0
TXN_000001,CARD_0199,DEV_0014,70.226.217.125,MERCH_0007,2365.66,2026-08-05 17:54:00,IN-Kolkata,0
TXN_000002,CARD_0039,DEV_0132,203.74.70.10,MERCH_0018,1090.3,2026-08-25 03:01:00,IN-Mumbai,0
TXN_000003,CARD_0020,DEV_0136,24.110.192.108,MERCH_0005,290.0,2026-08-03 14:16:00,IN-Kolkata,0
TXN_000004,CARD_0164,DEV_0154,99.41.191.58,MERCH_0021,1599.21,2026-08-06 01:42:00,IN-Mumbai,0
TXN_000005,CARD_0144,DEV_0146,46.252.237.194,MERCH_0026,419.71,2026-08-31 04:56:00,IN-Mumbai,0
TXN_000006,CARD_0163,DEV_0077,150.195.190.28,MERCH_0028,48967.17,2026-08-03 22:54:00,RU-Moscow,1
TXN_000007,CARD_0175,DEV_0123,76.167.212.45,MERCH_0029,197.85,2026-08-11 20:32:00,IN-Mumbai,0
TXN_000008,CARD_0087,DEV_0094,137.117.181.19,MERCH_0032,447.17,2026-08-18 06:30:00,IN-Delhi,0
TXN_000009,CARD_0027,DEV_0012,10.0.0.20,MERCH_0018,607.54,2026-08-11 06:25:00,IN-Kolkata,0
TXN_000010,CARD_0098,DEV_0083,80.192.168.209,MERCH_0036,1301.43,2026-08-13 11:13:00,IN-Ahmedabad,0
TXN_000011,CARD_0080,DEV_0078,149.250.76.115,MERCH_0031,696.01,2026-08-25 05:53:00,IN-Bangalore,0
TXN_000012,CARD_0023,DEV_0012,126.208.143.9,MERCH_0003,254.48,2026-08-09 11:51:00,IN-Kolkata,0
TXN_000013,CARD_0126,DEV_0103,82.242.195.99,MERCH_0023,374.89,2026-08-02 17:18:00,IN-Chennai,0
TXN_000014,CARD_0102,DEV_0129,97.78.83.47,MERCH_0028,726.83,2026-08-06 22:16:00,IN-Hyderabad,0
TXN_000015,CARD_0140,DEV_0086,10.0.0.10,MERCH_0035,299.26,2026-08-04 03:11:00,IN-Chennai,0
TXN_000016,CARD_0093,DEV_0009,90.158.200.34,MERCH_0008,567.57,2026-08-23 10:30:00,IN-Mumbai,0
TXN_000017,CARD_0085,DEV_0083,6.25.170.63,MERCH_0039,933.21,2026-08-08 20:41:00,IN-Ahmedabad,0
TXN_000018,CARD_0041,DEV_0130,80.173.179.2,MERCH_0034,416.92,2026-08-04 10:33:00,IN-Pune,0
TXN_000019,CARD_0181,DEV_0106,218.232.46.170,MERCH_0037,356.7,2026-08-10 21:13:00,IN-Pune,0
TXN_000020,CARD_0185,DEV_0148,221.203.187.24,MERCH_0036,202.07,2026-08-03 20:36:00,IN-Delhi,0
TXN_000021,CARD_0184,DEV_0097,38.223.46.243,MERCH_0009,1123.13,2026-08-10 15:09:00,IN-Kolkata,0
TXN_000022,CARD_0174,DEV_0107,167.110.220.116,MERCH_0009,283.12,2026-08-06 10:32:00,IN-Delhi,0
TXN_000023,CARD_0176,DEV_0035,76.167.212.45,MERCH_0033,980.74,2026-08-09 15:48:00,IN-Chennai,0
TXN_000024,CARD_0143,DEV_0136,2.104.154.243,MERCH_0021,469.75,2026-08-10 17:25:00,IN-Hyderabad,0
TXN_000025,CARD_0090,DEV_0063,137.117.181.19,MERCH_0017,328.55,2026-08-03 05:16:00,IN-Chennai,0
TXN_000026,CARD_0076,DEV_0125,110.13.136.8,MERCH_0020,1846.99,2026-08-18 22:51:00,IN-Delhi,0
TXN_000027,CARD_0089,DEV_0101,10.0.0.30,MERCH_0022,852.65,2026-08-20 01:14:00,IN-Chennai,0
TXN_000028,CARD_0197,DEV_0137,208.69.32.184,MERCH_0017,1081.22,2026-08-19 06:40:00,IN-Delhi,0
TXN_000029,CARD_0143,DEV_0012,207.151.173.206,MERCH_0033,1084.55,2026-08-26 05:59:00,IN-Hyderabad,0
TXN_000030,CARD_0163,DEV_0035,203.0.113.66,MERCH_0000,965.95,2026-08-27 22:29:00,IN-Pune,0
TXN_000031,CARD_0140,DEV_0073,126.208.143.9,MERCH_0020,636.83,2026-08-25 07:25:00,IN-Chennai,0
TXN_000032,CARD_0165,DEV_0009,212.232.204.107,MERCH_0011,136.7,2026-08-28 10:13:00,IN-Hyderabad,0
TXN_000033,CARD_0045,DEV_0074,88.136.1.73,MERCH_0002,1148.72,2026-08-30 20:14:00,IN-Pune,0
TXN_000034,CARD_0076,DEV_0034,130.108.79.169,MERCH_0032,759.08,2026-08-27 14:43:00,IN-Hyderabad,0
TXN_000035,CARD_0069,DEV_0047,55.174.248.50,MERCH_0000,1834.59,2026-08-27 08:53:00,IN-Hyderabad,0
TXN_000036,CARD_0086,DEV_0103,80.166.43.227,MERCH_0027,196.82,2026-08-06 15:45:00,IN-Chennai,0
TXN_000037,CARD_0083,DEV_0063,167.209.59.36,MERCH_0000,292.85,2026-08-28 03:44:00,IN-Pune,0
TXN_000038,CARD_0098,DEV_0066,199.173.26.203,MERCH_0023,896.13,2026-08-20 08:18:00,IN-Kolkata,0
TXN_000039,CARD_0060,DEV_0079,162.155.140.152,MERCH_0007,124.76,2026-08-27 02:48:00,IN-Mumbai,0
TXN_000040,CARD_0075,DEV_0155,212.232.204.107,MERCH_0023,341.0,2026-08-22 10:42:00,IN-Chennai,0
TXN_000041,CARD_0179,DEV_0152,56.58.176.111,MERCH_0005,2356.2,2026-08-11 01:39:00,IN-Bangalore,0
TXN_000042,CARD_0114,DEV_0140,202.225.17.149,MERCH_0032,739.22,2026-08-16 00:46:00,IN-Delhi,0
TXN_000043,CARD_0146,DEV_0052,80.173.179.2,MERCH_0037,689.2,2026-08-25 00:12:00,IN-Chennai,0
TXN_000044,CARD_0023,DEV_0116,217.225.51.135,MERCH_0036,573.8,2026-08-12 05:20:00,IN-Kolkata,0
TXN_000045,CARD_0143,DEV_0055,87.203.41.219,MERCH_0037,277.2,2026-08-18 11:19:00,IN-Hyderabad,0
TXN_000046,CARD_0011,DEV_0073,205.117.180.57,MERCH_0026,2756.6,2026-08-29 14:17:00,IN-Kolkata,0
TXN_000047,CARD_0196,DEV_0114,123.205.218.176,MERCH_0024,111.75,2026-08-03 07:13:00,IN-Pune,0
TXN_000048,CARD_0020,DEV_0137,56.58.176.111,MERCH_0025,1250.31,2026-08-07 22:52:00,IN-Ahmedabad,0
TXN_000049,CARD_0032,DEV_0108,123.205.218.176,MERCH_0034,542.75,2026-08-22 08:41:00,IN-Hyderabad,0
TXN_000050,CARD_0058,DEV_0004,76.167.212.45,MERCH_0015,1264.35,2026-08-16 17:50:00,IN-Ahmedabad,0
TXN_000051,CARD_0017,DEV_0062,155.220.50.204,MERCH_0002,5315.86,2026-08-30 23:15:00,IN-Delhi,0
TXN_000052,CARD_0112,DEV_0074,96.52.63.73,MERCH_0014,1091.93,2026-08-22 14:37:00,IN-Chennai,0
TXN_000053,CARD_0187,DEV_0077,190.21.230.233,MERCH_0009,984.49,2026-08-06 05:10:00,IN-Chennai,0
TXN_000054,CARD_0133,DEV_0044,137.117.181.19,MERCH_0027,824.24,2026-08-18 19:42:00,IN-Delhi,0
TXN_000055,CARD_0126,DEV_0106,109.128.233.217,MERCH_0026,1271.22,2026-08-16 19:44:00,IN-Pune,0
